name,prompt,negative_prompt
face-bukkake 55,"<lora:cumfacial55_v2:0.8>, (bukkakAI:1.3) (cum on face), semen, sperm, cum",
face-bukkake coef,"(bukkakAI:1.3) <lora:cumshot_49:0.3>, (cum on face), semen, sperm, cum <lora:cohf:0.5>",
face-bukkake,"(bukkakAI:1.3) <lora:cumshot_49:0.3>, (cum on face), semen, sperm, cum <lora:facialized:1>",
face-bukkake-soft,"(bukkakAI:1.3) <lora:cumshot_49:0.3>, (cum on face), semen, sperm, cum",
face-cum in mouth bukkake,"cum in mouth, (open mouth), bukkake, facial, <lora:cuminmouth:0.9>,",
face-sleeping closed,"sleeping, eyes closed",
face-Japanese,(Japanese face:1.2),
face-Japanese lora,<lora:JapaneseDollLikeness_v15:0.5>,
face-baby face,"(baby face:1.5), big eyes",
face-round face,"(round face:1.5)",
face-cute asian,"<lora:JapaneseDollLikeness_v15:0.25>, make up <lora:koreanDollLikeness:0.25>, black hair <lora:GirlfriendMix2:0.5>",
face-teenage,(teenage:1),
face-slant eyes tsurime,slant eyes,
face-grin make up idol,"(japanese idol:1.2), (k-pop idol:1.2), model, eyelashes, grin, make up",
face-20yo korean,"20 age years old, korean, tiktok, eyelashes, big eyes",
face-16yo Japanese doll,"(beautiful Japanese face:1.1), 16 years old, <lora:JapaneseDollLikeness_v15:0.25>, <lora:GirlfriendMix2:0.5>",
face-17yo Japanese,"(17yo Japanese:1.3)",
face-19yo Japanese supermodel,"beautiful Japanese girl, 19 years old, supermodel, Japanese Idol, (smile), Large Breasts, Sweat skin",
face-nogizaka,"nogizaka girl",
face-Japanese,Japanese,
face-perfect,"perfect face, beautiful",
skin-pale,(pale skin),
skin-tanned brown,"tanned skin, brown skin",
skin-tanned tanline lora,"(tan lines, tanlines:1.2), <lora:Tanlines05:0.4>, sun tan, full nude",
skin-sweat,"sweaty skin, sweat, wet skin, gleaming skin",
skin-wet,"wet skin, gleaming skin",
hand,<lora:GoodHands-beta2:1.5>,(badhandv4:1.2)
multiple harem," <lora:MultipleGirlsGroup:0.5>, (3girls:1.5), harem",
multiple lineup," <lora:MultipleGirlsGroup:0.5>, (3girls:1.5), lineup",
gorgeous,"(make up), blush, gorgeous, luxury",
victorian,(Victorian),
place-street,"(outdoor, a lot of people on street,street, shop)",
place-hotspring-onsen,"hot spring",
place-stadium gym,"a lot of people in stadium",
place-classroom,"classroom",
place-cyberpunk neon,"neon, cyberpunk, outdoor",
place-snow,"snow",
place-car,"sitting inside car",
place-car back seat,"inside a detailed taxi back seat",
place-sea beach,"sea, sand beach, wind",
place-rain,"(in the heavy rain)",
place-pool,"pool",
place-sunflower-field,"(superb sunflower-field view:1.1), blue sky, white cloud",
place-waterpark,"waterpark",
place-church,"inside church",
place-toilet,"<lora:toiletGirl:1.1>",
place-night club-live stage,"(live stage:1.3), (night club:1.2)",
place-convenience store,convenience store,
place-camp tent,"camp, tent",
place-sports hall gym","sports hall",
place-flowers hill alpine,"(field on alpine flowers:1.5)",
place-track field,(track and field),
place-shopping center,"inside, (shopping center background:1.1)",
place-restaurant","upper body, food and alcohol, plate, table, sitting, restaurant, people",
place-night-view,"night view",
place-dim background,"dim background",
place-theme park disney,"theme park, disneyland, castle, street",
place-backyard uraniwa,"backyard",
place-forest,"forest",
place-European palace,"at gorgeous classic European palace interior",
camera-focus on person,"focus on person",
camera-front,"from front",
camera-side,"from side",
camera-below,"from below",
camera-back behind,"from behind",
camera-cowboy-shot,cowboy shot,
camera-bust up,bust up,
camera-selfie,(selfie:1.2),"smartphone, phone"
camera-portrait,portrait,
expression-smile,"smile, laugh",
expression-ahegao,"(ahegao:1.1), (open mouth), (tongue out:1.3), (rolling eyes:1.3), <lora:ahegao,rolling_eyes-000014:0.4> <lora:ahegaov1A:0.1>",
expression-ahegao-grin,"(ahegao:1.1), (grin:1), (rolling eyes:1.3), <lora:ahegao,rolling_eyes-000014:0.4> <lora:ahegaov1A:0.1>, (closed mouth:1.2)","open mouth, (tongue out), blush, makeup"
expression-ahegao lora,"rolling eyes <lora:ahegao_v2.5:1>",
expression-tongue out,"(open mouth), (tongue out:1.3)",
expression-seductive smile,seductive smile,
expression-yorime ahegao hypno,"<lora:yorime:1>, (yorime:1.4)",
expression-jitome keibetsu,"((contemptuous)), ((disdain))",
body-huge-breasts,huge breasts,
body-small-breasts,(small breasts),
body-flat-breasts,"(flat breasts), flat chest",
body-flat-breasts-lora,"<lora:flatchest-smallbreast_v10:0.4>, (flatchest:1.4)",
body-crest,(pink heart tatoo only on lower abdomen),
body-crest2,(heart tattoo on arched crotch:1.4),
body-slim,"(slim, thin limb:1.2), narrow waist","thic, chubby"
body-slim-small-breasts yase,"(toned:1.0), small breasts",
body-writing,"<lora:toiletGirl:1.4>, (body writing:1.4)",
body-cameltoe,"(cameltoe:1.1)",
body-legs thighs,"beautiful legs and thighs",
pose-sitting,sitting,
pose-sitting floor,sitting on floor,
pose-kneeling arms above,"(spread legs:1.2), (fold arms above head), (kneeling)",
pose-kneeling up,"(kneeling up)",
pose-doggy back,"from side, 1girl, (doggystyle:1.2), sex, 1boy, on all fours, torso grab <lora:Doggyv0.2:0.55>",
pose-squat,"(spread legs:1.2), (squat)",
pose-cat squat,"(both hands up around sholder:1.3), squat, spread legs, (fist:1.2)",
pose-spread-legs-up,"<lora:MS_Real_SpreadLegsUp_Lite:0.7>, spread legs, legs up,  vagina",
pose-spread-legs,"(spread legs:1.3), (vagina, pussy:1.3)",
pose-2girls kissing yuri,"(2 girls kiss each other:1.5), deep kiss, look each other, looking away, hugging tight",
pose-2girls kissing penis,"(2 girls facing each other:1.5), look at penis, hugging tight, pov, a man, 1penis, (penis between lips:1.3), kissing penis",
pose-2girls hugging,"(2 girls hugging tight:1.1), <lora:symmetrical docking orgy:1>, breast to breast, breast press,  symmetrical docking orgy, arm grab",
pose-paizuri titfuck,"<lora:Titfuck_Realistic:1>, a man, pov, titfuck",
pose-paizuri big titfuck,"<lora:titfuck:0.7>, (titfuck:1.2), (small areole:1.2), small nipples, penis",
pose-finger in pussy ,(finger in pussy),
pose-spread pussy ,spread pussy <lora:Saya-spread pussy(fingers):1>,
pose-push up breasts,gather breasts and push them up by hands,
pose-squeeze breasts elbow(arm up),"<lora:Elbow Squeeze LoRA:0.75>, (elbow squeeze), (breasts squeezed together), arms up",
pose-lift up breasts,"(lift breasts up by her hands:1.5)",
pose-lift up breasts lora,"(lift breasts up by her hands:1.5), <lora:shirtliftv1:1>",
pose-lift skirt up,"full body, lift skirt up to by hands show pussy, clothes lift, exhibitionism",
pose-lift skirt up lora,"lift clothes, <lora:skirtlift-v1:0.8>",
pose-lift skirt up lora exhibitionism,"lift clothes, exhibitionism, <lora:skirtlift-v1:0.8>",
pose-lift shirt, <lora:shirtliftv1:1>,
pose-missionaly,"lying back, sex, 1girl, 1boy, missionary, penis <lora:MS_Real_POVMissionary_Lite:0.8>",
pose-lying bed back,"(LYING ON BED:1.4), (ON BACK:1.1), (head on pillow:1.1)",
pose-talkin on phone,"(one hand talking on phone:1.0), <lora:talking on phone-000006:1>",
pose-handjob-kissing,"(handjob:1.3), penis in hand, kissing penis, a man, pov",
pose-cuddling handjob","(cuddling handjob:1.1), (handjob:1.2),1boy, penis,looking at viewer, <lora:cuddling_handjob_v0.1b:0.6>, bed, pov, real penis, detailed penis",
pose-blowjob-licking,"(licking penis), a man, pov, penis <lora:povbj_scopecreep_b1-000010:0.5>",
pose-blowjob-licking2,"(licking penis), a man, pov, penis  <lora:licking_my_dick.sd.v1.2:0.5> <lora:povbj_scopecreep_b1-000010:0.3>",
pose-blowjob-licking-pierced,"(licking penis), 1 man, pov, licking my dick, pierced tongue, <lora:licking_my_dick_pierced_tongue.v1.0:1>",
pose-2girls blowjob,"(2girls facing close each other and licking same 1 penis between them),<lora:MultipleGirlsGroup:0.4>, <lora:licking_my_dick.sd.v1.2:1>",
pose-2girls blowjob 2,"<lora:doubleblowjob:0.6>, doubleblowjob, two women, pov, a man, 1penis, (penis between lips:1.3)",
pose-fellatio,"<lora:EkunePOVFellatioV2:1>, povfellatio, 1boy, penis, fellatio",
pose-fellatio with breast,"<lora:EkunePOVFellatioV2:1>, povfellatio, 1boy, penis, fellatio, (breasts:1.2)",
pose-side fellatio,"(1boy:1.4), (penis:1.2), (sidefellatio:1.3), (fellatio:1.4) <lora:SideFellatio:1.2>"(1boy:1.4), (penis:1.2), (sidefellatio:1.3), (fellatio:1.4) <lora:SideFellatio:1.2>",
pose-back ass up wait standing,"<lora:ass_up_wait.v1.3-sd:0.6>, ass up wait, standing, pushing ass back, looking back, looking at viewer",
pose-back ass up wait feet kneeling,"<lora:ass_up_wait_feet.v2:0.8>, ass up wait feet",
pose-masturbating insertion,"<lora:objectMasturbation:1>, masturbating with banana, vaginal object insertion",
pose-masturbating rub,"<lora:objectMasturbation:1>, masturbating with tube, crotch rub",
pose-sitting 1leg fold,"sitting, one leg up, fold 1leg, showing her pussy",
pose-breasts on tray,"breasts on tray, <lora:breasts_on_tray:1.5>",
pose-back,"from back, anus, ass up, vagina, kneeling",
pose-back riding dildo,"from back, anus, ass up, vagina, kneeling, dildo, riding",
pose-kneeling all fours,"on all fours",
pose-1leg up,"(1leg up:1.3)",
pose-lean forward,"(lean forward:1.4),
pose-doggy,"<lora:EkuneSideDoggy:1>, sidedoggystyle, 1boy, ass, doggystyle, (sex:1.4), all fours, (penis, penetration:1.4)",
pose-peace double v,"(peace sign:1.2),double v,v",
pose-3girls cowgirl","(missionary:1.3), (pov:1.3), (sex:1.2), (a man:1.5), (penis:1.1), (3girls:1), (cowgirl position:1.0), (girl on top:1),<lora:PovGroupSex_v10:0.7>",
pose-heart hands, "heart hands",
pose-fold arms up,"fold both arms, arms up",
pose-curtsey,"(giving a curtsey:1.3), standing",
hair-braid,braid,
hair-braids,braids,
hair-braided tendrils,braided tendrils hair,
hair-tucked behind one ear,hair tucked behind one ear,
hair-ornament,hair ornament,
hair-ornament barrette,(barrette:1.2),
hair-headband,headband,
hair-ban-odango,bun hair,
hair-twintails,twintails,
hair-half up pigtail,"(half up pigtail), (curly hair), (middle length hair),",braid
hair-ponytail,ponytail,
hair-bob,bob cut,
hair-pixie cut,pixie cut,
hair-messy wob,messy wob hair,
hair-spiral curls,spiral curls,
hair-blunt pattsun,blunt bangs,
hair-bob,"bob, cut hair style",
haircolor-white,white hair,
haircolor-deep red,deep red hair,
haircolor-light orange,light orange hair,
haircolor-blonde,blonde hair,
cos-20,<lora:girl_COS20:0.7>,
clothes-sailor,"<lora:sexy_sailor_uniform04:0.6> wearing sexy sailor outfit, on beach",
clothes-seifuku-school-uniform,"seifuku, school uniform",
clothes-seifuku-school-uniform lora,"school uniform, <lora:jk uniform:0.3>, dark blue collar, white short-sleeved JK_sailor",
clothes-short seifuku-school-uniform lora,"school uniform, <lora:xueshengzhaung_20230910160840:0.5>, short tops, (underboob:1.3)",
clothes-open clothes,"(unbuttoned:1.3), (open clothes:1.3), (nipples:1.5)",
clothes-shirt pull flashing,"<lora:shirtpull_v2:0.4>, nipples, breasts",
clothes-topless ,"(topless:1.3), (nipples:1.4)",
clothes-drop top,<lora:droptop:0.5>,
clothes-see through dress,"see through dress",
clothes-see through dress-lora,"<lora:see_trough_dress06:0.7>, dress",
clothes-fishnet","fishnet",
clothes-wet,(wet clothes:1.5),
clothes-wet shirts lora,", (wet clothes:1.1), <lora:wetshirt15_v2.0:0.7>, sweat, pink nipple, (wetshirt:1.1)","(rain:1.1), pool, liver, bath"
clothes-wet towel,"(wet towel:1.3), (see through:1.4), hot spring, wet towels on body, nipples, (upskirt:1.2)",
clothes-traditional-maid,"<lora:TraditionalMaid:0.6>, maid outfit",
clothes-maid,"<lora:maid_cosplay:0.6>, maid,",
clothes-gothic maid,"(gothic maid:1.2), (waitress:1.2)",
clothes-pink gothic maid,"(pink gothic maid:1.2), (kawaii:1.4), (waitress:1.2)",
clothes-frill maid lingerie lora,"<lora:laceneiyi_20230809111938:0.5>, maid, frill",
clothes-short-skirt-mini,(very short skirt),
clothes-very-short-skirt-mini lora,"(short skirt:1.2), <lora:JS_MiniSkirt:0.6>",
clothes-gothic,"gothic outfit, (gothic make up)",
clothes-lingerie,lingerie,
clothes-seethrough lingerie lora,"<lora:leisineiyi_20230910121932:0.7>, lingerie",
clothes-red seethrough dress lora,"<lora:jle:0.6>, see through",
clothes-corset,corset,
clothes-sweater,sweater,
clothes-nurse,"(hospital:1.2), (sexy nurse, nurse cap :1.2)",
clothes-nurse lora,"(hospital:1.2), (sexy nurse, nurse cap :1.2), <lora:nurse_v11:0.6>",
clothes-bunnysuit,bunnysuit,
clothes-translucent bunnysuit,"<lora:bunnysuit:1>, (translucent bunnysuit), bunny ear",
clothes-reverse bunnysuit,"<lora:bunnysuit:1>, (reverse bunnysuit), bunny ear",
clothes-china dress,cheongsam,
clothes-lolita,pastel lolita clothes,
clothes-dog collar,"(dog collar for girl with lead:1.4), lead on collar, leash",(animal ears)
clothes-gloves,gloves,
clothes-lace gloves,lace gloves,
clothes-ca-cabin-attendant,"(flight attendant:1.2), aircraft crew outfit",
clothes-gym-sports,"(gym outfit), short tops",
clothes-underboob,"short tops, (underboob:1.3)",
clothes-basketball,"(basketball player uniform), V-neck, cleavage",
clothes-cleavage tanima,"cleavage",
clothes-wedding bride,"(wedding), bride, veil, church, bouquet",
clothes-wedding short dress lora,"(wedding), bride, church, short dress, <lora:sexy_wedding_short_dress:0.4>",
clothes-blindfolded,"(blindfolded:1.4)",
clothes-white blouse pleated skirt,"(white ruffle blouse:1.3), (lace:1.2), (pleated skirt:1.2), (black bow tie:1.1), earrings, (hair ribbon:1.2)",
clothes-green skirt sailer with vest,"white shirt, green bowtie, bowtie, shinny green skirt, shinny green ribbon, hair ribbon, bangs, school uniform, sweater vest, ribbon, hairband, standing, green hairband, vest, lips, hair bow, yellow vest, collared shirt",
clothes-choker,choker,
clothes-midriff hesodashi,"midriff, navel",
clothes-coat exhibitionism,"exhibitionism, flush, coat, nude, open clothes, hands on coat",
clothes-coat exhibitionism lora,"<lora:exhibitionism-off:0.3>, exhibitionism, public indecency, flashing, nude, naked coat, outdoors, open coat, public nudity, nipples",
clothes-office worker suit,"office worker, business suit, black skirt, jacket",
clothes-detailed office worker suit,"office worker, business suit, see through white shirt, red tie, black skirt, jacket",
clothes-cheerleader,"(cheerleader:1.3)",
clothes-rubber latex,"rubber suit, latex suit",
clothes-upskirt,"upskirt",
clothes-denim short pants,"denim short pants",
clothes-mourning mofuku,"(mourning clothes:1.5)",
clothes-miko,"Japanese miko, shrine, kimono",
clothes-nun sister abbey,"abbey, black head veil, black scapular, black tunic",
clothes-police,"police hat, (police uniform:1.3), salute",
clothes-yukata,"(ryokan),((yukata))",
clothes-tank top,"tight short tank top",
clothes-fish net tights,"black fish net tights",
clothes-garter belt,garter belt,
clothes-track rikujou sport,"(sprint:1.5), sportswear, (separate:1.5), bloomers, athlete, (track and field:1.3), navel",
clothes-track rikujou sport 2,"(track uniforms,sportswear,sportswear,sports bras,sports bikinis)",
clothes-tracksuit jarji,"(tracksuit:1.3)",
clothes-orange dirndl waitress,"(Dirndl:0.5), (waitress:1.5), ((white)collared blouse:0.4), ((orange) skirt:1.2), orange suspender",
clothes-apron,"(naked cute apron:1.3), white apron",
clothes-idole,"(j-pop idol), on stage, spot light, dance, audiences",room
clothes-cat ear,"cat ear",
clothes-black satin cat maid,"<lora:maid_cosplay:0.6>, maid, maid headdress, black frill satin corset, cat ear",
clothes-sports-tennis,"(Tennis player Uniform, Tennis dress, Pleated skirt:1.1)",
clothes-sports-tennis lora,"(Tennis player Uniform, Tennis dress:1.1) <lora:tennis_outfit05:0.3>",
clothes-pleated skirt,"pleated skirt",
clothes-bare butt,"(bare butt:1.4)",
clothes-downblouse nipslip ,"(Nipslip:1.3), (Downblouse:1.3), (nipples:1.3)",
clothes-downblouse nipslip lora,"downblouse, view from above, <lora:RealDownblouse15_v3.2:1>",
clothes-downblouse lora,"(downblouse:1.3), <lora:milf_downblouse.v10.1-e100:0.6>",
clothes-over sized t-shirt,"(over sized plain t shirt:1.3)",
clothes-nipple potch,"(nipple potch:1.3)",
clothes-changing undressing,"changing clothe, undressing",
clothes-volleyball,"volleyball uniform",
clothes-volleyball lora,"<lora:volley2_2LORA-DAD:0.5>, volleyball uniform, Indoor stadium",
clothes-samba,"(samba uniform:1.7)",
clothes-earrings,"earrings",
clothes-ni-so thighhighs,"thighhighs",
clothes-round glasses megane,round glasses,
clothes-round bondage,"(bondage:1.2), belt",
clothes-fishnet tops,"<lora:fishnet_top by goofy ai:1>, fishnet tops, (nipples:1.4)",
clothes-halloween costume,halloween costume,
clothes-santa,"santa",
clothes-broken clothes,"<lora:broken_clothes:0.7>, (broken_clothes:1.1)",
clothes-corrupt akuochi,"<lora:LustCorrupt:0.85>, (CorruptA:1.3), pubic tattoo",
clothes-nipple cutout lora,"<lora:nipple cutout by Goofy Ai:0.7>, (nipple cutout:1.2), (nipples:1.2), (clothing cutout:1.2), breasts",
clothes-soccer uniform,"(soccer uniform:1.3),",
clothes-soccer uniform lora,"<lora:soccer_uniform:0.4>, soccer uniform",
clothes-shintaiso-rhythmic gymnastics,"(rhythmic gymnastics:1.4), (leotard:1.1)",
clothes-pastel goth lora,"<lora:edgPastelGothFashionv1:0.7>, edgPastelGoth",
clothes-seethrough bondage lora,"<lora:smbody_20230910012123-000018:0.7>",
clothes-red cape with nipple tape lora","<lora:yuer:0.45>,  (beautiful woman:1.2), (slim, thin limb:1.2), narrow waist",
clothes-bodystocking lora,"<lora:liantisiwa_20230731133407:0.5>, bodystocking",
clothes-gorgeous deep v neck lora,"<lora:deep_v-neck_dress:0.4>, v neck dress",
clothes-off shoulder dress lora," <lora:off_shoulder_bandage_dress:0.35>, off shoulder, dress",
clothes-cut out dress lora","cut out dress, <lora:cut_out_dress:0.4>",
black-penis,"(black penis:1.3), (detailed glans:1.5)",
2girls twin,"2girls, twin",
